148	只顾	只 顾
149	回来	回 来
150	朴刀	朴 刀
151	宋江等	宋 江 等
152	众将	众 将
153	也不	也 不
154	与他	与 他
155	当时	当 时
156	起身	起 身
157	庄上	庄 上
158	分付	分 付
159	不可	不 可
160	与我	与 我
161	慌忙	慌 忙
162	银子	银 子
163	众头领	众 头 领
164	高太尉	高 太 尉
165	当日	当 日
166	朝廷	朝 廷
167	你们	你 们
168	军师	军 师
169	时迁	时 迁
170	雷横	雷 横
171	杀了	杀 了
172	在这里	在 这 里
173	公明	公 明
174	下马	下 马
175	枢密	枢 密
176	看见	看 见
177	武松道	武 松 道
178	徐宁	徐 宁
179	有一	有 一
180	在那里	在 那 里
181	二人	二 人
182	唤做	唤 做
183	只一	只 一
184	心中	心 中
185	三十	三 十
186	不在	不 在
187	厮杀	厮 杀
188	宋公明	宋 公 明
189	与你	与 你
190	到来	到 来
191	安排	安 排
192	马上	马 上
193	入城	入 城
194	武大	武 大
195	李逵道	李 逵 道
196	不见	不 见
197	吴用道	吴 用 道
198	明日	明 日
199	便走	便 走
200	店里	店 里
201	刘唐	刘 唐
202	路上	路 上
203	西门庆	西 门 庆
204	宋先锋	宋 先 锋
205	若是	若 是
206	娘子	娘 子
207	解珍	解 珍
208	不能	不 能
209	这般	这 般
210	认得	认 得
211	不肯	不 肯
212	解宝	解 宝
213	走了	走 了
214	人来	人 来
215	一条	一 条
216	道清	道 清
217	寻思	寻 思
218	自去	自 去
219	王婆	王 婆
220	军兵	军 兵
221	房里	房 里
222	两边	两 边
223	方腊	方 腊
224	到此	到 此
225	只听得	只 听 得
226	一百	一 百
227	琼英	琼 英
228	员外	员 外
229	入来	入 来
230	有些	有 些
231	中书	中 书
232	乔道清	乔 道 清
233	一般	一 般
234	大怒	大 怒
235	过来	过 来
236	领兵	领 兵
237	向前	向 前
238	离了	离 了
239	五十	五 十
240	出一	出 一
241	几个	几 个
242	相公	相 公
243	正在	正 在
244	都头	都 头
245	去处	去 处
246	孙立	孙 立
247	将佐	将 佐
248	我等	我 等
249	童贯	童 贯
250	左右	左 右
251	有个	有 个
252	方才	方 才
253	董平	董 平
254	上马	上 马
255	入去	入 去
256	的是	的 是
257	后面	后 面
258	两个公人	两 个 公 人
259	先生	先 生
260	乃是	乃 是
261	话下	话 下
262	便叫	便 叫
263	话说	话 说
264	高俅	高 俅
265	阵前	阵 前
266	水军	水 军
267	十数	十 数
268	不在话下	不 在 话 下
269	教头	教 头
270	和你	和 你
271	包裹	包 裹
272	出城	出 城
273	酒保	酒 保
274	梁中书	梁 中 书
275	着一	着 一
276	师父	师 父
277	五百	五 百
278	索超	索 超
279	宋兵	宋 兵
280	折了	折 了
281	中军	中 军
282	主人	主 人
283	大汉	大 汉
284	里来	里 来
285	学究	学 究
286	传令	传 令
287	客人	客 人
288	必然	必 然
289	真人	真 人
290	拿了	拿 了
291	有人	有 人
292	旋风	旋 风
293	口里	口 里
294	我自	我 自
295	押司	押 司
296	黄信	黄 信
297	田虎	田 虎
298	大虫	大 虫
299	太师	太 师
300	住了	住 了
301	大王	大 王
302	吃酒	吃 酒
303	便去	便 去
304	长老	长 老
305	不想	不 想
306	中间	中 间
307	吴学究	吴 学 究
308	报知	报 知
309	回到	回 到
310	一处	一 处
311	家里	家 里
312	城池	城 池
313	一遭	一 遭
314	百姓	百 姓
315	十分	十 分
316	施恩	施 恩
317	了他	了 他
318	朱武	朱 武
319	金银	金 银
320	来的	来 的
321	婆子	婆 子
322	大将	大 将
323	迎接	迎 接
324	不过	不 过
325	朱贵	朱 贵
326	宿太尉	宿 太 尉
327	你这	你 这
328	知道	知 道
329	二将	二 将
330	马军	马 军
331	使人	使 人
332	坐了	坐 了
333	听的	听 的
334	望见	望 见
335	过了	过 了
336	衣服	衣 服
337	船上	船 上
338	三人	三 人
339	都监	都 监
340	这一	这 一
341	直到	直 到
342	说话	说 话
343	此时	此 时
344	济州	济 州
345	五千	五 千
346	燕顺	燕 顺
347	恁地	恁 地
348	只在	只 在
349	大嫂	大 嫂
350	步军	步 军
351	带了	带 了
352	二位	二 位
353	楼上	楼 上
354	虞候	虞 候
355	余人	余 人
356	黑旋风	黑 旋 风
357	相见	相 见
358	酒食	酒 食
359	厅上	厅 上
360	听罢	听 罢
361	行者	行 者
362	京师	京 师
363	坐下	坐 下
364	说了	说 了
365	备细	备 细
366	便把	便 把
367	招安	招 安
368	李应	李 应
369	大小	大 小
370	各自	各 自
371	吃了一	吃 了 一
372	将起来	将 起 来
373	却不	却 不
374	贤弟	贤 弟
375	迎敌	迎 敌
376	其余	其 余
377	差人	差 人
378	那时	那 时
379	门外	门 外
380	忠义	忠 义
381	言语	言 语
382	江州	江 州
383	安抚	安 抚
384	统军	统 军
385	每日	每 日
386	消息	消 息
387	官司	官 司
388	面前	面 前
389	提辖	提 辖
390	土兵	土 兵
391	萧让	萧 让
392	杨林	杨 林
393	孙安	孙 安
394	都到	都 到
395	小可	小 可
396	英雄	英 雄
397	贼人	贼 人
398	出去	出 去
399	大名	大 名
400	管待	管 待
401	骂道	骂 道
402	便来	便 来
403	我的	我 的
404	开了	开 了
405	小二	小 二
406	知县	知 县
407	不到	不 到
408	身上	身 上
409	既是	既 是
410	取出	取 出
411	多时	多 时
412	门前	门 前
413	里去	里 去
414	在地	在 地
415	一日	一 日
416	看看	看 看
417	之间	之 间
418	连忙	连 忙
419	酒来	酒 来
420	一同	一 同
421	阮小七	阮 小 七
422	太守	太 守
423	三军	三 军
424	人都	人 都
425	子上	子 上
426	汤隆	汤 隆
427	准备	准 备
428	这等	这 等
429	上面	上 面
430	却才	却 才
431	北京	北 京
432	山东	山 东
433	不住	不 住
434	此间	此 间
435	得了	得 了
436	前后	前 后
437	船只	船 只
438	叔叔	叔 叔
439	身边	身 边
440	四下	四 下
441	引军	引 军
442	张横	张 横
443	穆弘	穆 弘
444	天色	天 色
445	一个人	一 个 人
446	统领	统 领
447	众军	众 军
448	戴宗道	戴 宗 道
449	时分	时 分
450	禅杖	禅 杖
451	蓟州	蓟 州
452	石子	石 子
453	顾大嫂	顾 大 嫂
454	手里	手 里
455	见他	见 他
456	一发	一 发
457	引着	引 着
458	管营	管 营
459	城门	城 门
460	既然	既 然
461	奈何	奈 何
462	早晚	早 晚
463	毕竟	毕 竟
464	下回	下 回
465	一时	一 时
466	杀死	杀 死
467	节级	节 级
468	当先	当 先
469	晁盖道	晁 盖 道
470	前去	前 去
471	且听	且 听
472	分解	分 解
473	待要	待 要
474	都来	都 来
475	项充	项 充
476	下回分解	下 回 分 解
477	大寨	大 寨
478	三千	三 千
479	头上	头 上
480	且听下回分解	且 听 下 回 分 解
481	再说	再 说
482	下了	下 了
483	武艺	武 艺
484	上来	上 来
485	大惊	大 惊
486	亲自	亲 自
487	女儿	女 儿
488	李衮	李 衮
489	此人	此 人
490	那里去	那 里 去
491	大哥	大 哥
492	把这	把 这
493	家庄	家 庄
494	贼兵	贼 兵
495	卢先锋	卢 先 锋
496	领了	领 了
497	以此	以 此
498	如何不	如 何 不
499	饮酒	饮 酒
